id_store_bank;tx_createdate;tx_status;tx_company_code;tx_gl_account;tx_store_bank_code;tx_store_code
226;2023-07-16 13:00:39;CREATED;AZALEIA;1013211;CAJA TDA C.C LAMBRAM. ARQ - NIUBIZ;ST060
227;2023-07-16 13:00:39;CREATED;AZALEIA;1013212;CAJA TDA C.C LAMBRAM. ARQ - IZIPAY;ST060
228;2023-07-16 13:00:39;CREATED;AZALEIA;1013213;CAJA TDA C.C LAMBRAM. ARQ - CULQI;ST060
229;2023-07-16 13:00:39;CREATED;AZALEIA;1013214;CAJA TDA C.C LAMBRAM. ARQ - AMEX;ST060
230;2023-07-16 13:00:39;CREATED;AZALEIA;1013215;CAJA TDA C.C LAMBRAM. ARQ - DINERS;ST060
231;2023-07-16 13:00:39;CREATED;AZALEIA;1013216;CAJA TDA C.C BOUL. ASIA - NIUBIZ;ST061
232;2023-07-16 13:00:39;CREATED;AZALEIA;1013217;CAJA TDA C.C BOUL. ASIA - IZIPAY;ST061
233;2023-07-16 13:00:39;CREATED;AZALEIA;1013218;CAJA TDA C.C BOUL. ASIA - CULQI;ST061
234;2023-07-16 13:00:39;CREATED;AZALEIA;1013219;CAJA TDA C.C BOUL. ASIA - AMEX;ST061
235;2023-07-16 13:00:39;CREATED;AZALEIA;1013220;CAJA TDA C.C BOUL. ASIA - DINERS;ST061
236;2023-07-16 13:00:39;CREATED;AZALEIA;1013221;CAJA TDA C.C MALL SUR - NIUBIZ;ST048
237;2023-07-16 13:00:39;CREATED;AZALEIA;1013222;CAJA TDA C.C MALL SUR - IZIPAY;ST048
238;2023-07-16 13:00:39;CREATED;AZALEIA;1013223;CAJA TDA C.C MALL SUR - CULQI;ST048
239;2023-07-16 13:00:39;CREATED;AZALEIA;1013224;CAJA TDA C.C MALL SUR - AMEX;ST048
240;2023-07-16 13:00:39;CREATED;AZALEIA;1013225;CAJA TDA C.C MALL SUR - DINERS;ST048
241;2023-07-16 13:00:39;CREATED;AZALEIA;1013226;CAJA TDA PLAZA SOL ICA - NIUBIZ;ST029
242;2023-07-16 13:00:39;CREATED;AZALEIA;1013227;CAJA TDA PLAZA SOL ICA - IZIPAY;ST029
243;2023-07-16 13:00:39;CREATED;AZALEIA;1013228;CAJA TDA PLAZA SOL ICA - CULQI;ST029
244;2023-07-16 13:00:39;CREATED;AZALEIA;1013229;CAJA TDA PLAZA SOL ICA - AMEX;ST029
245;2023-07-16 13:00:39;CREATED;AZALEIA;1013230;CAJA TDA PLAZA SOL ICA - DINERS;ST029
246;2023-07-16 13:00:39;CREATED;AZALEIA;1013231;CAJA TDA CATALOGO - NIUBIZ;ST004
247;2023-07-16 13:00:39;CREATED;AZALEIA;1013232;CAJA TDA CATALOGO - IZIPAY;ST004
248;2023-07-16 13:00:39;CREATED;AZALEIA;1013233;CAJA TDA CATALOGO - CULQI;ST004
249;2023-07-16 13:00:39;CREATED;AZALEIA;1013234;CAJA TDA CATALOGO - AMEX;ST004
250;2023-07-16 13:00:39;CREATED;AZALEIA;1013235;CAJA TDA CATALOGO - DINERS;ST004
251;2023-07-16 13:00:39;CREATED;AZALEIA;1013236;CAJA TDA ECOMMERCE - NIUBIZ;ST023
252;2023-07-16 13:00:39;CREATED;AZALEIA;1013237;CAJA TDA ECOMMERCE - IZIPAY;ST023
253;2023-07-16 13:00:39;CREATED;AZALEIA;1013238;CAJA TDA ECOMMERCE - CULQUI;ST023
254;2023-07-16 13:00:39;CREATED;AZALEIA;1013239;CAJA TDA ECOMMERCE - AMEX;ST023
255;2023-07-16 13:00:39;CREATED;AZALEIA;1013240;CAJA TDA ECOMMERCE - IZIPAY;ST023
